No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,Kualitas_Udara
1,2013,Maret,1,0,4.0,4.0,4.0,7.0,0.3,77.0,-0.7,1023.0,-18.8,0.0,North-North-West,4.4,Aotizhongxin, Baik
2,2013,Maret,1,1,8.0,8.0,4.0,7.0,0.3,77.0,-1.1,1023.2,-18.2,0.0,North,4.7,Aotizhongxin, Baik
3,2013,Maret,1,2,7.0,7.0,5.0,10.0,0.3,73.0,-1.1,1023.5,-18.2,0.0,North-North-West,5.6,Aotizhongxin, Baik
4,2013,Maret,1,3,6.0,6.0,11.0,11.0,0.3,72.0,-1.4,1024.5,-19.4,0.0,North-West,3.1,Aotizhongxin, Baik
5,2013,Maret,1,4,3.0,3.0,12.0,12.0,0.3,72.0,-2.0,1025.2,-19.5,0.0,North,2.0,Aotizhongxin, Baik
6,2013,Maret,1,5,5.0,5.0,18.0,18.0,0.4,66.0,-2.2,1025.6,-19.6,0.0,North,3.7,Aotizhongxin, Baik
7,2013,Maret,1,6,3.0,3.0,18.0,32.0,0.5,50.0,-2.6,1026.5,-19.1,0.0,North-North-East,2.5,Aotizhongxin, Baik
8,2013,Maret,1,7,3.0,6.0,19.0,41.0,0.5,43.0,-1.6,1027.4,-19.1,0.0,North-North-West,3.8,Aotizhongxin,Sangat Buruk
9,2013,Maret,1,8,3.0,6.0,16.0,43.0,0.5,45.0,0.1,1028.3,-19.2,0.0,North-North-West,4.1,Aotizhongxin,Sangat Buruk
10,2013,Maret,1,9,3.0,8.0,12.0,28.0,0.4,59.0,1.2,1028.5,-19.3,0.0,North,2.6,Aotizhongxin, Baik
11,2013,Maret,1,10,3.0,6.0,9.0,12.0,0.4,72.0,1.9,1028.2,-19.4,0.0,North-North-West,3.6,Aotizhongxin, Baik
12,2013,Maret,1,11,3.0,6.0,9.0,14.0,0.4,71.0,2.9,1028.2,-20.5,0.0,North,3.7,Aotizhongxin, Baik
13,2013,Maret,1,12,3.0,6.0,7.0,13.0,0.3,74.0,3.9,1027.3,-19.7,0.0,North-North-West,5.1,Aotizhongxin, Baik
14,2013,Maret,1,13,3.0,6.0,7.0,12.0,0.4,76.0,5.3,1026.2,-19.3,0.0,North-West,4.3,Aotizhongxin, Baik
15,2013,Maret,1,14,6.0,9.0,7.0,11.0,0.4,77.0,6.0,1025.9,-19.6,0.0,North-West,4.4,Aotizhongxin, Baik
16,2013,Maret,1,15,8.0,15.0,7.0,14.0,0.4,76.0,6.2,1025.7,-18.6,0.0,North-North-East,2.8,Aotizhongxin, Baik
17,2013,Maret,1,16,9.0,19.0,9.0,13.0,0.4,76.0,5.9,1025.6,-18.1,0.0,North-North-West,3.9,Aotizhongxin, Baik
18,2013,Maret,1,17,10.0,23.0,11.0,15.0,0.4,74.0,4.3,1026.3,-18.7,0.0,North-North-East,2.8,Aotizhongxin, Baik
